shift_number,trip_number,passenger_count,tolls_amt,tip_amt,surcharge,total_amt,trip_distance,long_end,lat_end,long_start,lat_start,vendor_name,payment_method_rec,zipcode_start,zipcode_end,dropoff_minute,dropoff_hour,dropoff_day,pickup_minute,pickup_hour,pickup_day,pickup_year,trip_duration,medallion
3704580,1733,1,0,0,0,6.6,1.3,-73.9871,40.7686,-73.9845,40.7587,CMT,Cash,10019,10020,12,0,19,5,0,19,2008,7,C9893T
4138834,9025,1,0,1.95,0,14.95,4,-74.0125,40.7171,-73.9904,40.7614,CMT,Credit,10282,10018,44,0,23,30,0,23,2008,14,C8885T
273646894,15703,5,0,0,0,5,0.89,-73.9745,40.7549,-73.9804,40.7627,VTS,Cash,10167,10103,39,0,21,35,0,21,2008,4,C5457T
4867214,4168,2,0,0,0,7,1.4,-73.9714,40.7569,-73.9848,40.7597,CMT,Cash,10154,10020,59,0,25,51,0,25,2009,8,C7573T
274336989,21685,4,0,0,0,22.2,9.24,-73.9355,40.8572,-73.9856,40.7629,VTS,Cash,10034,10018,55,0,2,38,0,2,2009,17,C8482T
5121589,9483,3,0,0,0,7,1.8,-73.976,40.7864,-73.9826,40.7648,CMT,Cash,10023,10103,13,0,15,7,0,15,2009,6,C7975T
274943809,17597,1,0,0,0.5,4.6,0.57,-73.9752,40.7594,-73.982,40.764,VTS,Cash,10111,10103,10,0,22,6,0,22,2009,4,C2529T
5565134,178,2,0,0,0,9.4,2.3,-73.9977,40.7377,-73.9885,40.7643,CMT,Cash,10011,10018,50,0,22,37,0,22,2009,13,C5853T
5568223,9431,1,0,0,0,4.6,0.6,-73.9928,40.7581,-73.9873,40.766,CMT,Cash,10018,10019,50,0,22,47,0,22,2009,3,C7477T
275360284,24898,1,0,0,0,24.6,9.12,-73.9296,40.8634,-73.9922,40.759,VTS,Cash,10034,10018,33,0,19,9,0,19,2009,24,C9394T
275764364,22634,5,0,0,0.5,4.6,0.65,-73.9948,40.7554,-73.9891,40.7636,VTS,Cash,10199,10018,32,0,17,28,0,17,2009,4,C9693T
275868804,8042,1,0,0,0.5,9,1.88,-73.9734,40.7243,-73.9835,40.7622,VTS,Cash,10009,10020,22,0,24,9,0,24,2009,13,C9996T
6488232,5377,1,0,0,0,6.1,1.3,-73.9855,40.7693,-73.9888,40.7584,CMT,Cash,10019,10018,54,0,31,48,0,31,2009,6,C8182T
276166948,26543,1,0,0,0.5,4.2,0.59,-73.9721,40.7624,-73.9802,40.7653,VTS,Cash,10153,10103,27,0,14,25,0,14,2009,2,C4142T
276267244,13855,5,0,0,0,3.8,0.43,-73.9922,40.7643,-73.9908,40.7611,VTS,Cash,10018,10018,9,0,21,7,0,21,2009,2,C4644T
276876360,17910,3,0,0,0.5,9.4,3.02,-73.968,40.7924,-73.9909,40.761,VTS,Cash,10162,10018,11,0,8,2,0,8,2009,9,C8682T
277073264,16476,2,0,0,0.5,10.6,2.56,-74.0001,40.7327,-73.9911,40.7602,VTS,Cash,10012,10018,36,0,16,20,0,16,2009,16,C2827T
7978654,2751,1,0,0,0,6.1,1.3,-73.9714,40.7563,-73.989,40.7585,CMT,Cash,10154,10018,24,0,30,16,0,30,2009,8,C7171T
277484700,11280,1,0,0,0.5,9,2.73,-74.0056,40.7266,-73.9825,40.7621,VTS,Cash,10012,10020,1,0,14,52,23,13,2009,9,C9495T
8811022,531,4,0,1,0,6.3,0.4,-73.9911,40.7605,-73.985,40.7598,CMT,Credit,10018,10020,18,0,18,11,0,18,2009,7,C3132T
8807746,2546,1,0,0,0,6.1,1.2,-73.9887,40.7785,-73.9836,40.7663,CMT,Cash,10069,10019,55,0,18,47,0,18,2009,8,C7273T
278079361,24298,1,0,3,0.5,22,6.56,-73.9905,40.714,-73.9796,40.7654,VTS,Credit,10002,10103,39,0,25,17,0,25,2009,22,C0703T
278489296,1204,4,0,0,0.5,7.1,1.18,-73.9662,40.7581,-73.9845,40.7634,VTS,Cash,10022,10020,23,0,22,16,0,22,2009,7,C5156T
12053746,6846,1,0,0,0.5,11.1,2.3,-73.9738,40.7485,-73.9837,40.7641,CMT,Cash,10017,10103,24,0,18,10,0,18,2010,14,C8185T
280566021,7365,2,0,0,0.5,6.3,1.26,-74.0038,40.7433,-73.9922,40.7591,VTS,Cash,10011,10018,56,0,18,51,0,18,2010,5,C3538T
280969617,8917,5,0,0,0.5,8.3,1.71,-73.982,40.7432,-73.9874,40.7589,VTS,Cash,10001,10018,26,0,16,17,0,16,2010,9,C8781T
13153050,2503,2,0,0,0.5,8.3,2.5,-73.973,40.791,-73.987,40.7609,CMT,Cash,10162,10018,38,0,13,32,0,13,2010,6,C8783T
13155370,800,1,0,0.7,0.5,7,0.9,-73.9888,40.7743,-73.9809,40.7664,CMT,Credit,10069,10103,5,0,13,0,0,13,2010,5,C8682T
13159231,63,1,0,1,0.5,7.7,1.1,-73.982,40.7702,-73.9868,40.7619,CMT,Credit,10019,10018,17,0,13,9,0,13,2010,8,C7679T
13296026,6568,2,0,1.78,0.5,13.68,3.5,-73.9553,40.777,-73.9879,40.765,CMT,Credit,10028,10019,53,0,20,41,0,20,2010,12,C2628T
282163057,5989,2,0,1,0.5,7.7,0.46,-73.9889,40.7586,-73.9846,40.7597,VTS,Credit,10018,10020,31,0,8,22,0,8,2010,9,C3336T
15821284,1765,4,0,0,0.5,15.5,5,-73.9216,40.7666,-73.9872,40.7628,CMT,Cash,11102,10018,3,0,18,46,23,17,2010,17,C7171T
283476259,17483,5,0,0,0.5,7.1,1.44,-73.9874,40.7686,-73.9862,40.7577,VTS,Cash,10019,10018,4,0,11,58,23,11,2010,43206,C6668T
283670730,10478,1,0,2,0.5,13.5,2.19,-73.9968,40.7556,-73.9876,40.758,VTS,Credit,10199,10018,56,0,21,39,0,21,2010,17,C3835T
16716781,3328,1,0,1,0.5,8.1,1.4,-73.9794,40.7837,-73.9823,40.7677,CMT,Credit,10023,10019,39,0,28,33,0,28,2010,6,C0909T
273546273,11167,1,0,0,0,6.2,1.31,-73.9852,40.7448,-73.9866,40.7609,VTS,Cash,10001,10018,49,1,14,44,1,14,2008,5,C4742T
4466072,3087,1,0,0,0,11.4,3.2,-73.9783,40.7295,-73.9884,40.7568,CMT,Cash,10009,10018,48,1,21,34,1,21,2008,14,C2826T
274035390,7811,2,0,0,0,7.8,1.99,-73.9831,40.7397,-73.9807,40.7645,VTS,Cash,10016,10103,33,1,18,24,1,18,2009,9,C9994T
274440025,7711,2,0,2,0.5,8.2,1.63,-73.9988,40.7446,-73.9884,40.764,VTS,Credit,10011,10018,42,1,15,38,1,15,2009,4,C9291T
274445707,24190,1,0,0,0.5,5,0.89,-73.9857,40.7527,-73.9833,40.7625,VTS,Cash,10110,10020,59,1,15,55,1,15,2009,4,C4342T
5909735,9193,1,0,0,0,8.9,2.3,-74.0027,40.7319,-73.984,40.7612,CMT,Cash,10012,10020,27,1,19,14,1,19,2009,13,C4442T
6488003,1814,1,0,0,0,4.9,0.9,-73.9713,40.756,-73.9811,40.7641,CMT,Cash,10171,10103,7,1,31,1,1,31,2009,6,C9292T
276375404,23940,1,0,0,0,11.4,3.87,-73.9411,40.7941,-73.984,40.7583,VTS,Cash,10029,10020,6,1,28,54,0,28,2009,12,C5759T
